StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,f1,f2,f3,f4,q1,q2_1,q2_2,q2_3,q2_4,q3,q5,q6,q7,q8,q8s1,q8s2,transaction_id
2025/9/10 20:43,2025/9/10 20:44,0,100,82,1,2025/9/10 20:44,R_5NxnxtvhCB8H59j,,,,,-23.5475,-46.6361,anonymous,JA,1,1,42 ,4,4,2,1,1,1,1,1,1,2,1,1,1,,4lSlQKHCJBKrv8hMFaRYao
2025/9/10 20:44,2025/9/10 20:45,0,100,62,1,2025/9/10 20:45,R_6L4IuUmwo11n7Ox,,,,,-12.6557,-38.487,anonymous,JA,1,2,23 ,4,3,4,4,1,1,1,1,1,1,1,1,1,,44SJGx3LIZqOcriszyqgO8
2025/9/10 20:43,2025/9/10 20:45,0,100,117,1,2025/9/10 20:45,R_6EtV39pIYZCifmt,,,,,-22.7539,-43.4519,anonymous,JA,1,2,26 ,2,1,1,1,1,1,2,1,1,3,1,1,1,,0nWDpgIkWyPcASE4GH11y5
2025/9/10 20:44,2025/9/10 20:45,0,100,67,1,2025/9/10 20:45,R_7erqRJ0FQjYBHpv,,,,,-2.6495,-44.3044,anonymous,JA,1,1,25 ,5,5,2,1,1,1,3,1,2,2,1,2,2,,3hB6ovN4Wm4P4k04OLB2Ej
2025/9/10 20:44,2025/9/10 20:45,0,100,67,1,2025/9/10 20:45,R_6y4yChZhwSf8TnE,,,,,-23.5475,-46.6361,anonymous,JA,1,1,31 ,4,5,4,1,1,2,4,1,1,1,1,1,1,,5M7BJAoRJ3RdKiixigE7Mf
2025/9/10 20:44,2025/9/10 20:45,0,100,81,1,2025/9/10 20:45,R_1KJV3hc12RGU7l8,,,,,-22.8951,-47.0439,anonymous,JA,1,1,34 ,2,2,5,3,3,3,3,6,6,5,4,3,,3,1GAGfgltVXChfQMlBm3610
2025/9/10 20:44,2025/9/10 20:45,0,100,87,1,2025/9/10 20:45,R_75Sdm00B7A6Zv5k,,,,,-27.6168,-48.4997,anonymous,JA,1,2,27 ,4,6,5,1,1,1,2,4,1,3,2,1,1,,0tC6jxaGUkw4aH74BomYrL
2025/9/10 20:43,2025/9/10 20:45,0,100,109,1,2025/9/10 20:45,R_7emdqKMV4RQGVYc,,,,,-22.9072,-43.1883,anonymous,JA,1,1,26 ,4,4,3,3,2,3,2,3,2,3,1,3,,3,14VTCVuCeeearYRSlqUJD0
2025/9/10 20:44,2025/9/10 20:45,0,100,93,1,2025/9/10 20:45,R_6L4J7pOZ11KsD1n,,,,,-30.0273,-51.2353,anonymous,JA,1,2,22 ,3,3,5,2,2,2,4,4,2,4,1,2,2,,14fUJ53dPrOjyetFiTCWW4
2025/9/10 20:43,2025/9/10 20:45,0,100,139,1,2025/9/10 20:45,R_1lxXvr8PL7EB4RK,,,,,-19.4386,-42.606,anonymous,JA,1,1,31 ,4,3,4,1,3,2,4,2,2,4,2,3,,2,1upVJPjYtTPeII6oqHT0lr
