StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,f1,f2,f3,f4,q1,q2_1,q2_2,q2_3,q2_4,q3,q5,q6,q7,q8,q8s1,q8s2,transaction_id
2025/9/10 20:43,2025/9/10 20:43,0,100,46,1,2025/9/10 20:44,R_5mXdPCiEUwarBvE,,,,,19.5733,-99.0443,anonymous,JA,1,2,45,5,4,2,5,5,5,5,2,2,1,2,1,3,,6Z4gek2j8IL3xS681hKdCJ
2025/9/10 20:43,2025/9/10 20:44,0,100,43,1,2025/9/10 20:44,R_5kYljaZRhHJUwHT,,,,,19.3031,-99.6321,anonymous,JA,1,1,27,3,2,1,2,1,2,2,1,2,2,1,1,2,,0xDTqKBRn6PwtMVIF9xMqY
2025/9/10 20:43,2025/9/10 20:45,0,100,79,1,2025/9/10 20:45,R_1QaLSyvHQetlT6g,,,,,24.5668,-107.3843,anonymous,JA,1,1,36,6,2,3,2,2,1,3,3,2,3,1,3,,1,0p8usYxqI420T3mbiJaUud
2025/9/10 20:43,2025/9/10 20:45,0,100,118,1,2025/9/10 20:45,R_3SdxAhTOTR9yeyb,,,,,19.3951,-99.0317,anonymous,JA,1,1,55,5,4,5,1,5,5,5,4,3,2,2,3,,1,2BaXEvDkqcADxVRVEI0QY9
2025/9/10 20:43,2025/9/10 20:45,0,100,82,1,2025/9/10 20:45,R_5CEIjaGx3r3eTH7,,,,,18.1367,-94.5041,anonymous,JA,1,1,36,5,3,1,2,2,2,2,1,1,4,2,1,2,,3EUKBNbiWwQT98ga8SyDVl
2025/9/10 20:43,2025/9/10 20:45,0,100,91,1,2025/9/10 20:45,R_7qOwlsT72qpj8Ez,,,,,31.1999,-110.998,anonymous,JA,1,2,21,5,3,3,1,3,1,2,2,2,3,1,2,2,,1h5EtxrL49zPJGeNKZx75N
2025/9/10 20:43,2025/9/10 20:45,0,100,107,1,2025/9/10 20:45,R_5qyRZdVBPpRSePn,,,,,18.0084,-92.8592,anonymous,JA,1,1,24,6,8,1,2,2,2,2,1,1,3,1,1,1,,5jLgkoAOKtAdKNn4miXout
2025/9/10 20:43,2025/9/10 20:45,0,100,107,1,2025/9/10 20:45,R_7vTvnHJxwKas7wR,,,,,19.0439,-98.1984,anonymous,JA,1,1,39,3,2,2,1,1,1,1,4,1,3,1,3,,1,3yqjcJwLw3aaCFXqRSntIT
2025/9/10 20:44,2025/9/10 20:45,0,100,75,1,2025/9/10 20:45,R_611qhcoM5qGzjkN,,,,,20.5294,-97.4302,anonymous,JA,1,1,18,3,1,2,4,2,3,3,3,2,2,2,3,,3,1L8em2ctwfUYb1MDR2Z7vX
2025/9/10 20:43,2025/9/10 20:45,0,100,149,1,2025/9/10 20:45,R_5IEmCFccIkhCvE5,,,,,25.7574,-100.181,anonymous,JA,1,1,52,5,3,1,1,1,2,3,2,2,3,2,2,2,,2AHYvjrqPSR9qjJJuYZG2g
2025/9/10 20:43,2025/9/10 20:45,0,100,110,1,2025/9/10 20:45,R_5j1fRX6q3ANlCNy,,,,,25.793,-100.253,anonymous,JA,1,1,31,3,2,4,1,2,1,2,4,2,3,1,2,2,,5NC6p7QAaN4b6fODF7go4o
